n1,n2,n3,n4,eng
t3nfij,t3anfij,t3enfij,,inconvenience
trbziT,tberziT,tbarziT,ttbrziT,bother
twichia,,,,thing
l3iba,l3ayba,l3aiba,,thing
l3amala,,,,friend
tbl7is,tbel7is,tbal7is,tbal7iss,flattery
Tnz,Tanz,Tenz,,mockery
z3fan,za3fan,ze3fan,,angry
ka3i,,,,angry
l8imri,lhimri,,,hunger
m9rach,m9raj,mo9rach,mo9raj,tea kettle
3zzi,3azzi,3ezzi,,black
b7alma8okdaya,b7almahokdaya,kifmab7almahokdaya,kifmab7alma8okdaya,like this
Tbbouzi,Tbozi,Tabozi,Tebbozi,fat
tkhrbi9,tkharbi9,tkherbi9,tkharbiq,nonsense
3zwa,3zawi,,,man
kbchlaba9ich,kobchlaba9ich,kobbchlabaqich,kobbchlaba9ich,fill my cup
law3lm,llaw3lm,laho3lm,lahoa3lam,i do not know
lay3miha lik,,,,i warn you
brbbi,brebbi,brabbi,,i swear
awdi,awddi,,,whatever
awdi,awddi,,,anyway
bz9oul,bz9ol,bez9ol,baz9ol,child
chwikkik,,,,a bit
T8lla,Thalla,T8alla,T8ella,bye
3rram,3erram,3arram,,many
ewa,,,,well
fchkl,fchkel,fchkal,fchkeel,special
fchkl,fchkel,fchkal,fchkeel,peculiar
gharib,,,,weird
sghikkrin,,,,tiny
tfrnisa,tfernisa,tfarnisa,,smile
bz9oul,bz9ol,,,baby
br8och,bar8ouch,barhouch,barhoch,kid
tbznisa,tbeznisa,tbaznisa,,deal
t8jaj,ta8jaj,tahjaj,,noise
9oz9oza7,9ous9oza7,9aws9oza7,9aws 9oza7,rainbow
3zwa,,,,well done
Saa7a,,,,well done
mwrre9,mwerre9,,,noticeable
3wachr,3wacher,,,feasts
naDi,naaDi,,,excellent
8nnina,8ennina,8annina,,be quiet
fog chchb3a,,,,extra
dyal lmchkhara,dyal lmechkhara,,,ridiculous
chchann TTann,,,,swiftly
ml3ouba,ml3oba,,,feasible
n7ila,,,,swift
8rrbo lia,hrebt,lherba,hrrbni,blow my mind
Dbber 3la,,,,fetch
khrrej 3inih,,,,stare
jb8a,jab8a,jeb8a,jbha,bold
snTi7a,senTi7a,SnTi7a,,bold
mrigl,,,,tricky
blan,blaan,,,a good deal
wakwakk,wakwak,,,oh god
makat9chcherch,makat9cherch,makat9echerch,makat9echcharch,""
a7,,,,oh
lays3d lmasa,,,,good evening
