n1,n2,n3,n4,darija_ar,eng
8chich,,,,هشيش,fragile
cha3l,,,,شاعل,angry
DaSr,,,,ضاصر,naughty
modmin,moudmin,moudmine,,مودمين,addicted
ghabyy,ghaby,,,غابيّ,stupid
mkllkh,mkallakh,mkellekh,mkallekh,مكلّخ,stupid
mjllj,mjellej,mjallaj,mjallej,مجلّج,stupid
kbir,kabir,,,كبير,big
Sghir,saghir,,,صغير,small
m8rrs,mhrrs,m8arras,m8erras,مهرّس,broken
momill,,,,موميلّ,boring
Sl3,Sla3,Sle3,,صلع,bald
ghliD,,,,غليض,fat
Tebbouzi,,,,طبّوزي,fat
r9i9,rqiq,,,رقيق,thin
Twil,Twel,,,طويل,tall
9Sir,9ssir,,,قصير,short
zwin,,,,زوين,beautiful
bogos,,,,بوڭوس,handsome
khayb,khayeb,5ayb,,خايب,ugly
8bil,hbil,,,هبيل,crazy
mSTTi,mSaTTi,mSeTTi,,مصطّي,crazy
3aamr,aamr,3amer,3amr,عامر,full
jdid,,,,جديد,new
9dim,qdim,,,قديم,old
charf,chaarf,,,شارف,old
S3ib,,,,صعيب,hard
9as7,9aas7,,,قاسح,hard
sa8l,sahl,,,ساهل,easy
m3TTl,m3TTel,m3aTTal,m3Tal,معطّل,late
7a9i9ia,haqiqia,,,حاقيقيا,real
3adi,,,,عادي,normal
gadd,,,,ڭادّ,able
bsiT,basiT,,,بسيط,simple
m399d,m3a99ad,m3e99ed,m3a99ed,معقّد,complex
t9il,tqil,,,تقيل,slow
t9il,tqil,,,تقيل,heavy
was3,waas3,wase3,wasa3,واسع,wide
nachT,nacheT,,,ناشط,happy
n9i,nqi,,,نقي,clean
khayb,khayeb,5ayb,,خايب,bad
3aadil,3adil,,,عاديل,fair
ghany,ghani,,,غاني,rich
fa9ir,faqir,,,فاقير,poor
Tabi3i,Taby3i,,,طابيعي,natural
mfrou9,mafrou9,mefro9,mafro9,مفروق,separate
mch8our,mech8our,mch8or,mach8our,مشهور,famous
fr7an,far7an,fer7an,farhan,فرحان,glad
dourijin,dorijin,,,دوريجين,original
khayf,5ayf,khayef,5ayef,خايف,afraid
Dakhm,Da5m,,,ضاخم,huge
3imla9,,,,عيملاق,giant
za8i,zaa8i,zahi,zaahi,زاهي,cheerful
fakhour,fakhor,fa5our,fa5or,فاخور,proud
raDi,raaDi,,,راضي,satisfied
7azin,,,,حازين,sad
nadm,naadm,naadem,,نادم,regretful
mkta2b,mkta2b,mekta2eb,mekta2ab,مكتاءب,depressed
mskin,meskin,maskin,miskin,مسكين,miserable
mrta7,merta7,marta7,,مرتاح,comfortable
mchghoul,mchghol,mechghoul,machghoul,مشغول,busy
mchTon,mchToun,mechTon,machToun,مشطون,worried
m3SSb,m3eSSeb,m3aSSab,m3aSSeb,معصّب,nervous
mochaghib,mochaaghib,,,موشاغيب,troublemaker
ghDban,ghaDban,gheDban,,غضبان,angry
mrg,mreg,mrag,,مرڭ,embarrassed
