n1,n2,n3,n4,darija_ar,eng
t3nfij,t3anfij,t3enfij,,تعنفيج,inconvenience
trbziT,tberziT,tbarziT,ttbrziT,تربزيط,bother
twichia,,,,تويشيا,thing
l3iba,l3ayba,l3aiba,,لعيبا,thing
l3amala,,,,لعامالا,friend
tbl7is,tbel7is,tbal7is,tbal7iss,تبلحيس,flattery
Tnz,Tanz,Tenz,,طنز,mockery
z3fan,za3fan,ze3fan,,زعفان,angry
ka3i,,,,كاعي,angry
l8imri,lhimri,,,لهيمري,hunger
m9rach,m9raj,mo9rach,mo9raj,مقراش,tea kettle
3zzi,3azzi,3ezzi,,عزّي,black
b7alma8okdaya,b7almahokdaya,kifmab7almahokdaya,kifmab7alma8okdaya,بحالماهوكدايا,like this
Tbbouzi,Tbozi,Tabozi,Tebbozi,طبّوزي,fat
tkhrbi9,tkharbi9,tkherbi9,tkharbiq,تخربيق,nonsense
3zwa,3zawi,,,عزوا,man
kbchlaba9ich,kobchlaba9ich,kobbchlabaqich,kobbchlaba9ich,كبشلاباقيش,fill my cup
law3lm,llaw3lm,laho3lm,lahoa3lam,لاوعلم,i do not know
lay3miha lik,,,,لايعميها ليك,i warn you
brbbi,brebbi,brabbi,,بربّي,i swear
awdi,awddi,,,أودي,whatever
awdi,awddi,,,أودي,anyway
kimma kan l7al,kimmakan l7al,kima kan l7al,kimakan l7al,كيمّا كان لحال,anyway
bz9oul,bz9ol,bez9ol,baz9ol,بزقول,child
chwikkik,chwia,,,شويكّيك,a bit
T8lla,Thalla,T8alla,T8ella,طهلّا,bye
3rram,3erram,3arram,,عرّام,many
ewa,,,,إوا,well
fchkl,fchkel,fchkal,fchkeel,فشكل,special
fchkl,fchkel,fchkal,fchkeel,فشكل,peculiar
gharib,,,,غاريب,weird
sghikkrin,,,,سغيكّرين,tiny
tfrnisa,tfernisa,tfarnisa,,تفرنيسا,smile
bz9oul,bz9ol,,,بزقول,baby
br8och,bar8ouch,barhouch,barhoch,برهوش,kid
tbznisa,tbeznisa,tbaznisa,,تبزنيسا,deal
t8jaj,ta8jaj,tahjaj,,تهجاج,noise
9oz9oza7,9ous9oza7,9aws9oza7,9aws 9oza7,قوزقوزاح,rainbow
3zwa,,,,عزوا,well done
Saa7a,,,,صاحا,well done
m3elem,wa3r,,,معلم,great job
mwrre9,mwerre9,,,مورّق,noticeable
3wachr,3wacher,,,عواشر,feasts
naDi,naaDi,,,ناضي,excellent
8nnina,8ennina,8annina,,هنّينا,be quiet
fog chchb3a,,,,فوڭ الشبعا,extra
dyal lmchkhara,dyal lmechkhara,,,ديال لمشخارا,ridiculous
chchann TTann,,,,الشانّ الطانّ,swiftly
ml3ouba,ml3oba,,,ملعوبا,feasible
n7ila,,,,نحيلا,swift
8rrbo lia,hrebt,lherba,hrrbni,هرّبو ليا,blow my mind
Dbber 3la,,,,ضبّر علا,fetch
khrrej 3inih,,,,خرّج عينيه,stare
jb8a,jab8a,jeb8a,jbha,جبها,bold
snTi7a,senTi7a,SnTi7a,,سنطيحا,bold
mrigl,,,,مريڭل,tricky
blan,blaan,,,بلان,a good deal
wakwakk,wakwak,,,واكواكّ,oh god
makat9chcherch,makat9cherch,makat9echerch,makat9echcharch,ماكاتقشّرش,
a7,,,,أح,oh
lays3d lmasa,,,,لايسعد لماسا,good evening
jlakha,jla5a,,,جلاخا,bad guy
tl9na,tle9na,tla9na,,تلقنا,harry up
serbina,serbi,sarbina,,سربينا,harry up
ahya,,,,أهيا,oh
sat,l3chir,3chiri,,سات,homie
fri3 rass,sda3,sda3 rass,,فريع راسّ,distubance
khwadri,khawa,5wadri,5awa,خوادري,brother
khwadria,5wadria,,,خوادريا,sister
thela,thella,t8ala,thala,تهلا,see you
mafih maytchaf,,,,مافيه مايتشاف,really bad
mafih maytlbbe9,,,,مافيه مايتلبّق,really bad
lays3d SSaba7,lays3d Saba7,lays3dSSaba7,lays3dssaba7,لايسعد الصاباح,good morning
lays3d lmasa,lays3dlmasa,lah is3d lmasa,lah is3ed lmasa,لايسعد لماسا,good night
TTali3a,,,,الطاليعا,taunt
hreb lih,8reb lih,8reb li8,hreb li8,هرب ليه,he lost his mind
9chchabto was3a,9chabto was3a,9echabto was3a,9echchabto was3a,قشّابتو واسعا,He has a good sense of humor
tta zfta,7tta zfta,,,التا زفتا,anything
