darija,eng,darija_ar
"homa mkhbbyin chi haja, ana mti99en!","They're hiding something, I'm sure!","هوما مخبّين شي حاجة, أنا متيقّن!"
bayna homa tay7awlo ib9aw mbrrdin.,It's obvious they're trying to keep their cool.,باينا هوما تايحاولو إبقاو مبرّدين.
loTilat mabaynach fihom mori7in bzzaf.,the hotels don't seem very comfortable.,لوطيلات مابايناش فيهوم مريحين بزّاف.
ghaliban ghayjrriw 3lih mn lkhdma!,he is probably about to be laid off by head office!,غالبا غايجرّيو عليه من لخدمة!
Tab3an rah mkta2eb!,of course he's depressive!,طبعا راه مكتاءب!
tayballia ghanmchi!,I think I'm going to leave!,تايبالّيا غانمشي!
ara lia dak sac.,hand me that bag.,أرا ليا داك ساك.
ghanmreD!,I'm going to be sick!,غانمرض!
knt dima 3arf annaha bghatna nmoutou,I always knew she wanted us dead,كنت ديما عارف أنّها بغاتنا نموتو
bghit n3ref ch7al b9a lia tlwe9t bach n9ra,I'd like to know how much time I have left to study,بغيت نعرف شحال بقا ليا تلوقت باش نقرا
"ghaykon 3ndna mti7an, ala hadchi lli 9Sedti","We will have an exam, if that is what you mean","غايكون عندنا امتحان, ألا هادشي لي قصدتي"
"ssimana jjaya, nhar lkhmis","Next week, on Thursday","السيمانة الجاية, نهار لخميس"
ghanghTTiw ga3 lmawad tal tlat jjay,We will cover all the material up to next Tuesday,غانغطّيو ڭاع لمواد تال تلات الجاي
ewa bda l9raya bkri!,so start studying soon!,إوا بدا لقرايا بكري!
"wakha, ala 3ndi ay as2ila, wach nsifthom lik f email?","Okay, if I have any questions, could I email them to you?","واخا, ألا عندي أي أسئلة, واش نصيفتهوم ليك ف إمايل?"
walakin ghanjawb 3lihom fl aw9at t lkhdma,But I will only answer them during working hours,و لكن غانجاوب عليهوم ف الأوقات ت لخدمة
idan 3afak matsifthomch m3TTel nhar larb3 bl3chia,so please don't send them late on Wednesday evening,إدن عافاك ماتصيفتهومش معطّل نهار لاربع بلعشية
"chokran, a lalla","Thank you, ma'am","شكرا, أ لالّة"
ach kay3ni hadchi?,what is that meant to be?,أش كايعني هادشي?
kifach ktabk ghay3awnni nt8dden,how is your book going to help me calm down,كيفاش كتابك غايعاونّي نتهدّن
tan8Dr 3la mrrakch,I'm talking about Marrakech,تانهضر على مراكش
bjojna tankhafo mn TTayaran,we're both scared of flying,بجوجنا تانخافو من الطيران
awlla!,isn't it!,أولا!
o mnimta bssalama nn3as kan kay3awen chi wahd?!,and since when have sleeping helped anyone?!,و منيمتا بالسلامة النعاس كان كايعاون شي واحد?!
knt 3arfha!,I knew it!,كنت عارفها!
a rebbi!,oh god!,أ ربّي!
hadchi kollo lghalaT dyalk,it's all your fault,هادشي كولّو الغلط ديالك
w f7alat w93at ksida ach khssna ndiro?,And in case of accidents we're supposed to do what?,و فحالة وقعات كسيدة أش خسّنا نديرو?
lach jbti m3ak chjra l Tyyara?!,why did you bring a tree onto the plane?!,لاش جبتي معاك شجرة ل الطيارة?!
wach nti 7m9a!,are you crazy!,واش نتي حمقة!
tan9tar7 annak tsm3 ktr o thdr 9ell,I suggest you listen more and talk less,تانقتارح أنك تسمع كتر و تهضر قلّ
khssni nmchi daba,I have to go now,خسّني نمشي دابا
o ch7al hada bach nta mkellef?,and how long have you been in charge?,و شحال هادا باش نتا مكلّف?
"glt lik lkrafs, wach matatsme3ch","I said celery, can't you listen","ڭلت ليك لكرافس, واش ماتاتسمعش"
wakha nzid chi bou3wid tahoa?,"Can I add some pear, too?",واخا نزيد شي بوعويد تاهوا?
"layskher, ana m3ak","Okay, I'm with you","لايسخر, أنا معاك"
wa rah 3chr snin hadi,It's been ten years,وا راه عشر سنين هادي
ach bghiti m3ah?,What do you want with it?,أش بغيتي معاه?
3afak wakha tsedd chrjem m3ak,please could you just close the window,عافاك واخا تسدّ شرجم معاك
wa hir tl9na o baraka mn l8Dra,just get on and don't talk so much,وا غير طلقنا و باراكا من لهضرة
wach matatfkkerch?,Don't you think?,واش ماتاتفكّرش?
rah ghatjowwej simana jjayya.,she is getting married next week.,راه غاتجوّج السيمانة الجاية.
tjowwjo Sghar bzzaf,They got married very young,تجوّجو صغار بزّاف
hoa mjowwej b mo7amia mn Tanja,He is married to a lawyer in Tangier.,هو موّج ب محامية من طنجة
matgolch,Do not say,ماتڭولش
daba kaydowwez bzzaf tlwe9t fddar,Now he spends a lot of time home,دابا كايدوّز بزّاف تلوقت فدّار
ala kan hadchi lli kat9Sed,if that is what you mean,ألا كان هادشي لي كاتقصد
3aadatan ghaytghlaw wit7eTTo m3a lkhell,they would traditionally be boiled and served with vinegar,عادة غايتغلاو ويتحطّو معا لخلّ
gddach?,how big is it?,ڭدّاش?
wach kbir?,is it big?,واش كبير?
maghanTyyboch makla Talyania,we are not preparing an italian meal,ماغانطيّبوش ماكلة طاليانية
hada ghaykon Taba9 mghribi 7orr,this will be a proper moroccan meal,هادا غايكون طبق مغربي حرّ
"lbarba zwina, walakin t9dr t3Tik wa7d lmada9 7lou","Beets are good, but it might give you a sweet taste.","لباربا زوينة, و لكن تقدر تعطيك واحد المذاق حلو"
TTwal b Tabi3t l7al,long ones of course,الطوال ب طبيعة الحال
"bghiti bTaTa frit m3ahom, ta8ia?","Do you want french fries with them, too?","بغيتي بطاطا فريت معاهوم, تاهيا?"
o ach ballik nmchiw l cinema?,how about going to the cinema?,و أش بالّيك نمشيو ل سينما?
ma3ada ala 3ndk chi haja khra bghiti tzid8a,Unless you have anything else you would like to add,ما عدا ألا عندك شي حاجة خرا بغيتي تزيدها
tberre3 lia m3a rask!,enjoy!,تبرّع ليا معا راسك!
matreddedch trje3 3ndi,do not hesitate to come back to me,ماتردّدش ترجع عندي
