darija,eng,darija_ar
khsni n39al 3la had lmital,,خسني نعقال علا هاد لميتال
diri mst9balak bidak,,ديري مستقبالاك بيداك
ana nsfto lik,,أنا نسفتو ليك
ta tasli oshaho,,تا تاسلي أُسهاهو
ha hna kn3dwi m3a lwa9t,,ها هنا كنعدوي معا لواقت
wala kolchi ghali,,والا كولشي غالي
ghatl9yhom fgogal,,غاتلقيهوم فڭوڭال
tilifon fih l2jabyat oslbiyat,,تيليفون فيه لءجابيات أُسلبييات
walit kn9ra hsan mn lwal,,واليت كنقرا هسان من لوال
hna hna bach nhlo ayi haja 3ndkom,,هنا هنا باش نهلو أيي حاجة عندكوم
mafhmtch chi kalimat,,مافهمتش شي كاليمات
rifiya chwiya s3iba,,ريفييا شوييا سعيبا
hada howa li kn3tmad 3alih,,هادا هووا لي كنعتماد عاليه
maymknach that chi fi3al msraf,,مايمكناش تهات شي فيعال مسراف
khaski thati lmasdar,,خاسكي تهاتي لماسدار
ghadi lkalima ljidar dyalha,,غادي لكاليما لجيدار ديالها
hawalt ha ana mzal kanhwal,,هاوالت ها أنا مزال كانهوال
walit thsant chwiya,,واليت تهسانت شوييا
ghanzid ntdrab,,غانزيد نتدراب
ghir 9rayi ta nsli on9ra,,غير قرايي تا نسلي أُنقرا
jit tani nbrztak chwiya,,جيت تاني نبرزتاك شوييا
hado ghayjwak s3ab,,هادو غايجواك سعاب
lah ijib lik matmniti fhyatk,,الله إجيب ليك ماتمنيتي فهياتك
ghir 9ryi othjayi lkalima mzyan t2akdi b3da,,غير قريي أُتهجايي لكاليما مزيان تأكدي بعدا
khasni n9ra ta nkon matmkna,,خاسني نقرا تا نكون ماتمكنا
dghiya kant3sab hit mkn3rf n9ra,,دغييا كانتعساب هيت مكنعرف نقرا
njib dftar onktab fih,,نجيب دفتار أُنكتاب فيه
ma 3marni 9ritha,,ما عمارني قريتها
maharmtich 9anon sayar,,ماهارمتيش قانون سايار
charab dwa dyalk,,شاراب دوا ديالك
makynach cht2 lyoma,,ماكيناش شتء ليوما
lmojathid najah,,لموجاتهيد ناجاه
had lmasna3 zwin,,هاد لماسناع زوين
3arfat lh9i9a daba,,عارفات لهقيقا دابا
3ajbni lmwdo3 dyal lkatab,,عاجبني لمودوع ديال لكاتاب
kat3raf tktab nas sardi ola la,,كاتعراف تكتاب ناس ساردي أُلا لا
3ndak lawha lfniya ola la,,عنداك لاوها لفنييا أُلا لا
chno howa lmajl dyalk,,شنو هووا لماجل ديالك
chno howa lmomtil li kay3jbak,,شنو هووا لمومتيل لي كايعجباك
ana 3ndi 9isa,,أنا عندي قيسا
3ndak satilo khal,,عنداك ساتيلو خال
3amrak 9arti chi hikya 3ajiba,,عامراك قارتي شي هيكيا عاجيبا
had lfatra khasa,,هاد لفاترا خاسا
3nd klinkas 3tini wahd 3afak,,عند كلينكاس عتيني واهد عافاك
l3sal kataklih,,لعسال كاتاكليه
dak lpidf mnach ghthfdi,,داك لپيدف مناش غتهفدي
ndwo m3na lfakiya,,ندوو معنا لفاكييا
had dahira kthdadna,,هاد داهيرا كتهدادنا
tlwoto la,,تلووتو لا
kifach kay3ich l2insan bhad lwda3,,كيفاش كايعيش لإنسان بهاد لوداع
b3di mn lghaz rah khayab,,بعدي من لغاز راه خاياب
matlohach zbala ftri9 hchoma,,ماتلوهاش زبالا فتريق هشوما
aslan mamrbich trbiya hsana,,أسلان مامربيش تربييا هسانا
katmchi tbi3o fso9,,كاتمشي تبيعو فسوق
kayban wjhak bhal l9amar,,كايبان وجهاك بهال لقامار
i3wal 3lik lwahad,,إعوال عليك لواهاد
fin mchat li kat9bal lhmam,,فين مشات لي كاتقبال لهمام
lksala machfithach,,لكسالا ماشفيتهاش
diri l9fal lhwayijak,,ديري لقفال لهواييجاك
galast mora lghda knt2mal,,ڭالاست مورا لغدا كنتءمال
lhayat kolha ghtfot,,لهايات كولها غتفوت
lm2a howa asas lhayat,,لمأ هووا أساس لهايات
kyan l2i9tsad ola la,,كيان لإقتساد أُلا لا
kathdadni hda hwa,,كاتهدادني هدا هوا
